siteID,AnnualPrecip_msr,AnnualPrecip_mean,AnnualTemp_msr,AnnualTemp_mean,Biomass_msr,Biomass_mean,Elevation_msr,Elevation_mean,Forest_msr,Forest_mean,NDVI_msr,NDVI_mean,PeatDepth_msr,PeatDepth_mean,PrecipSeasonality_msr,PrecipSeasonality_mean,Slope_msr,Slope_mean,SlopeDerivative_msr,SlopeDerivative_mean,SoilMoisture_msr,SoilMoisture_mean,SoilType_msr,SoilType_mean,TempSeasonality_msr,TempSeasonality_mean,TreeHeight_msr,TreeHeight_mean,Forest_shdi,Forest_cls0_p,Forest_cls1_p,SoilType_shdi,SoilType_cls1_p,SoilType_cls2_p,SoilType_cls3_p,SoilType_cls4_p,SoilType_cls5_p,Forest_lsi,SoilType_lsi,y
T1KSIA,96.25,664.5,0.007651902702122,2.277083396911621,1653.4958730898798,42.01263427734375,297.7600456190376,112.46624569687992,0.2481379173696041,0.45684814453125,0.0177845140617143,0.3320765791687144,595.2938714288175,25.94464111328125,0.2201264588538833,31.776341438293457,0.038024826065764,0.2532996101145883,0.0088781718663549,0.0018692980352916,1148.4810672849417,43.6099853515625,0.3791028223931789,1.49310302734375,5.855167229427025,868.3856048583984,2704.056898534298,52.405029296875,0.6894183783344506,0.54315185546875,0.45684814453125,0.8671526241398093,0.56939697265625,0.37017822265625,0.058349609375,0.0020751953125,0.0,5.214074011023615,5.5545739847137225,693.0
T1N5UR,7.25,593.5,0.0009288228882837,6.358333349227905,7290.481743421406,82.73321533203125,35.17335917952187,90.76152576552704,0.2441138587892055,0.57672119140625,0.0168276816998014,0.4997179677136794,30.516135677695274,13.1427001953125,0.026385250858766,24.912941932678223,0.0153138268111662,0.1349204513592479,0.004969755313519,-0.0005325261072535,418.44357603415847,25.93304443359375,0.0970835089683532,1.108642578125,0.3551278065424412,707.1253509521484,8135.655018564314,84.69329833984375,0.6813282619630823,0.42327880859375,0.57672119140625,0.344361749243558,0.8914794921875,0.1083984375,0.0001220703125,0.0,0.0,5.652530743309722,5.708014427766068,411.0
T1QLZR,100.25,741.5,0.0018489587803749,1.7500000596046448,1291.6255059204996,38.76947021484375,935.3248939318,529.4225476868451,0.2466449998319149,0.55792236328125,0.0150439742961241,0.2393699670097717,216.53720182180405,18.134521484375,0.0364827414987303,33.99610233306885,0.0430419206473645,0.416652282900543,0.020292508888823,0.0035934396335637,623.7159129232168,35.7213134765625,0.2427615523338318,1.293212890625,7.107304776087403,843.2896728515625,2749.9535118602216,48.51007080078125,0.6864220910417305,0.44207763671875,0.55792236328125,0.6544725229227241,0.72454833984375,0.2576904296875,0.01776123046875,0.0,0.0,5.007386347763095,5.696818529444659,458.0
T1TL12,1484.6875,963.25,0.0163628276851568,7.0,4042.530192792416,56.180419921875,904.863570054109,70.63870058045723,0.2421134673058986,0.41119384765625,0.0206177940215954,0.4621787115274017,299.2772138118744,17.94580078125,0.0580235054821969,22.495004653930664,0.2383097365917436,0.5448088496484687,0.0513679735465213,0.0045703985210305,1032.1537948697803,29.4615478515625,0.274690356105566,1.31854248046875,4.507715794024989,648.9457855224609,5571.450430810452,65.322509765625,0.6772901208218823,0.58880615234375,0.41119384765625,0.6850795679410121,0.70477294921875,0.27740478515625,0.0123291015625,0.0054931640625,0.0,5.592776314457008,5.597343947505682,1114.0
T1YMRX,77.25,611.5,0.0124598560772026,-1.0072916448116302,255.53502943739292,7.85614013671875,,,0.1494617722928524,0.18292236328125,0.0995320747367108,-0.152609576300338,411.5418644994497,8.5482177734375,0.544213007469807,35.8120174407959,,,,,892.8787571452558,86.91180419921875,1.2174969762563703,3.3763427734375,14.315017441986129,929.2872161865234,0.0,0.0,0.4757959959469093,0.81707763671875,0.18292236328125,0.865133956034438,0.139892578125,0.07171630859375,0.060546875,0.72784423828125,0.0,5.125105978706548,5.529749746491838,708.0
T2KQJZ,1.1875,560.25,3.79762715851939e-05,6.901041746139526,2822.752909049392,39.1898193359375,,,0.2452431768178939,0.4310302734375,0.0306026002712426,0.4070093434770491,1.777708038687706,12.2579345703125,0.0635579000525012,26.25165224075317,,,,,84.65918517112732,18.64697265625,0.0001830719411373,1.00018310546875,0.2509385317098349,665.0921783447266,4168.744652863592,44.95404052734375,0.6836031323846994,0.5689697265625,0.4310302734375,0.0017587933375576,0.99981689453125,0.00018310546875,0.0,0.0,0.0,5.281178791733577,4.023531211371082,929.0
T2LIWT,666.6875,795.75,0.0724913259678423,-3.599999964237213,5.922232627868652,0.4970703125,,,0.0,0.0,0.0074110254848921,-0.02063772873769,40.57404278218746,9.4552001953125,0.1336919865725576,22.205788612365723,,,,,352.96075439453125,9.7109375,0.1805605739355087,1.0916748046875,119.4856030147057,738.6719818115234,0.0,0.0,0.0,1.0,0.0,0.2550485879634436,0.9486083984375,0.01947021484375,0.0235595703125,0.00836181640625,0.0,4.0,5.264916197680806,
T2NGGK,35.1875,501.25,0.0108886707574136,-1.1656250357627869,364.1448822021485,26.22265625,590.524642750097,489.84008665941656,0.2236413359642028,0.337646484375,0.035741843063957,0.2800310756658636,754.7824506610632,26.5196533203125,0.0755250233296465,47.976759910583496,0.0692762503824871,0.3455342813181801,0.0110707378657861,0.0025200110017546,1375.1863535493612,39.3511962890625,0.6399392485618591,1.540771484375,0.868928762851283,913.7086334228516,923.6732315681876,27.75408935546875,0.6394620488150364,0.662353515625,0.337646484375,0.9518133093967948,0.64013671875,0.19384765625,0.151123046875,0.014892578125,0.0,5.322798958651844,5.740197077542015,568.0
T2T1DJ,76.6875,714.25,0.0060112686620925,2.964583396911621,4033.540888544172,66.75982666015625,901.2282246852848,109.98007021821104,0.2368333339691162,0.61474609375,0.0411968775951418,0.429780381384707,198.6607084237039,13.52337646484375,0.0085158719928131,27.48578977584839,0.1187997282673585,0.4797330373619548,0.021313244375612,-0.0008117740562896,1294.5786457918584,33.36212158203125,0.9816489070653917,1.5255126953125,5.068900669924915,809.5205993652344,4671.234886910766,69.75262451171875,0.6665776887916114,0.38525390625,0.61474609375,0.8178984341337856,0.72186279296875,0.1495361328125,0.00982666015625,0.1187744140625,0.0,5.242309340606248,5.972989182328374,725.0
T2YFPK,1.6875,625.25,0.0001247836484026,6.1114583015441895,2644.764718398452,33.4827880859375,6.099093391334236,24.76737555640284,0.2049111686646938,0.28765869140625,0.0351612077813138,0.4865946278847946,536.0271466933191,26.29400634765625,0.004578133245559,28.802836418151852,0.0115171406977728,0.0824213155895277,0.0028579804016097,0.0001270485544289,1083.113119419664,59.04254150390625,0.8217123597860336,1.9222412109375,0.4928132451605052,758.5591888427734,3975.146081354469,35.53546142578125,0.600041979304986,0.71234130859375,0.28765869140625,1.1376170546217768,0.35076904296875,0.47821044921875,0.06903076171875,0.10198974609375,0.0,5.662009419746103,5.361530914691348,816.0
